Alabama,AL,state,USA,3,South,6,East South Central,
Alaska,AK,state,USA,4,West,9,Pacific,
Arizona,AZ,state,USA,4,West,8,Mountain,
Arkansas,AR,state,USA,3,South,7,West South Central,
California,CA,state,USA,4,West,9,Pacific,
Colorado,CO,state,USA,4,West,8,Mountain,
Connecticut,CT,state,USA,1,Northeast,1,New England,
Delaware,DE,state,USA,3,South,5,South Atlantic,
Florida,FL,state,USA,3,South,5,South Atlantic,
Georgia,GA,state,USA,3,South,5,South Atlantic,
Hawaii,HI,state,USA,4,West,9,Pacific,
Idaho,ID,state,USA,4,West,8,Mountain,
Illinois,IL,state,USA,2,Midwest,3,East North Central,
Indiana,IN,state,USA,2,Midwest,3,East North Central,
Iowa,IA,state,USA,2,Midwest,4,West North Central,
Kansas,KS,state,USA,2,Midwest,4,West North Central,
Kentucky,KY,state,USA,3,South,6,East South Central,
Louisiana,LA,state,USA,3,South,7,West South Central,
Maine,ME,state,USA,1,Northeast,1,New England,
Maryland,MD,state,USA,3,South,5,South Atlantic,
Massachusetts,MA,state,USA,1,Northeast,1,New England,
Michigan,MI,state,USA,2,Midwest,3,East North Central,
Minnesota,MN,state,USA,2,Midwest,4,West North Central,
Mississippi,MS,state,USA,3,South,6,East South Central,
Missouri,MO,state,USA,2,Midwest,4,West North Central,
Montana,MT,state,USA,4,West,8,Mountain,
Nebraska,NE,state,USA,2,Midwest,4,West North Central,
Nevada,NV,state,USA,4,West,8,Mountain,
New Hampshire,NH,state,USA,1,Northeast,1,New England,
New Jersey,NJ,state,USA,1,Northeast,2,Mid-Atlantic,
New Mexico,NM,state,USA,4,West,8,Mountain,
New York,NY,state,USA,1,Northeast,2,Mid-Atlantic,
North Carolina,NC,state,USA,3,South,5,South Atlantic,
North Dakota,ND,state,USA,2,Midwest,4,West North Central,
Ohio,OH,state,USA,2,Midwest,3,East North Central,
Oklahoma,OK,state,USA,3,South,7,West South Central,
Oregon,OR,state,USA,4,West,9,Pacific,
Pennsylvania,PA,state,USA,1,Northeast,2,Mid-Atlantic,
Rhode Island,RI,state,USA,1,Northeast,1,New England,
South Carolina,SC,state,USA,3,South,5,South Atlantic,
South Dakota,SD,state,USA,2,Midwest,4,West North Central,
Tennessee,TN,state,USA,3,South,6,East South Central,
Texas,TX,state,USA,3,South,7,West South Central,
Utah,UT,state,USA,4,West,8,Mountain,
Vermont,VT,state,USA,1,Northeast,1,New England,
Virginia,VA,state,USA,3,South,5,South Atlantic,
Washington,WA,state,USA,4,West,9,Pacific,
West Virginia,WV,state,USA,3,South,5,South Atlantic,
Wisconsin,WI,state,USA,2,Midwest,3,East North Central,
Wyoming,WY,state,USA,4,West,8,Mountain,
Washington DC,DC,capitol,USA,3,South,5,South Atlantic,
Puerto Rico,PR,commonwealth,USA,,,,,
U.S. Virgin Islands,VI,territory,USA,,,,,
American Samoa,AS,territory,USA,,,,,
Guam,GU,territory,USA,,,,,
Northern Mariana Islands,MP,commonwealth,USA,,,,,
Alberta,AB,province,Canada,,,,,
British Columbia,BC,province,Canada,,,,,
Manitoba,MB,province,Canada,,,,,
New Brunswick,NB,province,Canada,,,,,
Newfoundland and Labrador,NL,province,Canada,,,,,
Nova Scotia,NS,province,Canada,,,,,
Ontario,ON,province,Canada,,,,,
Prince Edward Island,PE,province,Canada,,,,,
Quebec,QC,province,Canada,,,,,
Saskatchewan,SK,province,Canada,,,,,
Northwest Territories,NT,territory,Canada,,,,,
Nunavut,NU,territory,Canada,,,,,
Yukon Territory,YT,territory,Canada,,,,,
Baker Island,,minor,USA,,,,,
Howland Island,,minor,USA,,,,,
Jarvis Island,,minor,USA,,,,,
Johnston Atoll,,minor,USA,,,,,
Midway Islands,,minor,USA,,,,,
Wake Island,,minor,USA,,,,,
Palmyra Atoll,,minor,USA,,,,,
Kingman Reef,,minor,USA,,,,,
Navassa Island,,minor,USA,,,,,
Serranilla Bank,,minor,USA,,,,,
Bajo Nuevo Bank,,minor,USA,,,,,
Armed Forces Americas,AA,military,USA,,,,,
Armed Forces Europe,AE,military,USA,,,,,
Armed Forces Pacific,AP,military,USA,,,,,
